'N'	'SNR'	'sp\_noise'	'Kernel Chosen'	'Test Accuracy'	'Kernel rate'	'Bayes optimal rate'
'500& '	'100& '	'0\% & '	'$\SE_{1} \times \SE_{3} + \SE_{2} + \SE_{3}$ &'	'94.8\% & '	'95.4\% & '	'97.4\%  \\ \hline '
'300& '	'100& '	'0\% & '	'$\SE_{1} + \SE_{2} + \SE_{3}$ &'	'94\% & '	'95.67\% & '	'97.4\%  \\  '
'100& '	'100& '	'0\% & '	'$\SE_{1} \times \SE_{3}$ &'	'92\% & '	'91\% & '	'97.4\%  \\  '
'500& '	'100& '	'5\% & '	'$\SE_{1} \times \SE_{3} + \SE_{2} + \SE_{2} \times \SE_{2}$ &'	'89.2\% & '	'90.6\% & '	'91.6\%  \\ \hline '
'300& '	'100& '	'5\% & '	'$\SE_{1} + \SE_{1} \times \SE_{3} + \SE_{2}$ &'	'87\% & '	'89.33\% & '	'91.6\%  \\  '
'100& '	'100& '	'5\% & '	'$\SE_{1} + \SE_{3}$ &'	'80\% & '	'79\% & '	'91.6\%  \\  '
'500& '	'100& '	'20\% & '	'$\SE_{1} \times \SE_{3} + \SE_{2}$ &'	'77.2\% & '	'75\% & '	'82\%  \\ \hline '
'300& '	'100& '	'20\% & '	'$\SE_{1} \times \SE_{3}$ &'	'75\% & '	'74.67\% & '	'82\%  \\  '
'100& '	'100& '	'20\% & '	'$\SE_{1} \times \SE_{3}$ &'	'69\% & '	'64\% & '	'82\%  \\  '
'500& '	'1& '	'0\% & '	'$\SE_{1} + \SE_{3}$ &'	'76\% & '	'76.4\% & '	'77.4\%  \\ \hline '
'300& '	'1& '	'0\% & '	'$\SE_{1} + \SE_{3}$ &'	'74\% & '	'73.67\% & '	'77.4\%  \\  '
'100& '	'1& '	'0\% & '	'$\SE_{1} + \SE_{3}$ &'	'64\% & '	'71\% & '	'77.4\%  \\  '
'500& '	'1& '	'5\% & '	'$\SE_{1} \times \SE_{3}$ &'	'72.6\% & '	'73.2\% & '	'74.4\%  \\ \hline '
'300& '	'1& '	'5\% & '	'$\SE_{1} + \SE_{3}$ &'	'72\% & '	'71\% & '	'74.4\%  \\  '
'100& '	'1& '	'5\% & '	'$\SE_{1} + \SE_{3}$ &'	'63\% & '	'63\% & '	'74.4\%  \\  '
'500& '	'1& '	'20\% & '	'$\SE_{1} \times \SE_{3}$ &'	'68\% & '	'67.6\% & '	'68.8\%  \\ \hline '
'300& '	'1& '	'20\% & '	'$\SE_{1} \times \SE_{3}$ &'	'65.33\% & '	'65.67\% & '	'68.8\%  \\  '
'100& '	'1& '	'20\% & '	'$\SE_{1} \times \SE_{3}$ &'	'53\% & '	'61\% & '	'68.8\%  \\  '
